LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9600495121202804
Amygdala;AUC;STD;0.02580775841301745
Amygdala;AVGDIST;MEAN;1.3380026096473174
Amygdala;AVGDIST;STD;0.21410768599476776
Amygdala;DICE;MEAN;0.5272231501450249
Amygdala;DICE;STD;0.04459607520404033
Amygdala;FN;MEAN;265.0
Amygdala;FN;STD;177.51675977214094
Amygdala;FP;MEAN;5235.9
Amygdala;FP;STD;511.8066920234631
Amygdala;HDRFDST;MEAN;11.938305858470816
Amygdala;HDRFDST;STD;1.351611345617297
Amygdala;JACRD;MEAN;0.3592241132585693
Amygdala;JACRD;STD;0.04114461411971551
Amygdala;SNSVTY;MEAN;0.9207027971001734
Amygdala;SNSVTY;STD;0.051595074144588304
Amygdala;SPCFTY;MEAN;0.999396227140387
Amygdala;SPCFTY;STD;5.901056057212708e-05
Amygdala;TN;MEAN;8666722.7
Amygdala;TN;STD;457.3201395084192
Amygdala;TP;MEAN;3065.4
Amygdala;TP;STD;277.8989744493491
GreyMatter;AUC;MEAN;0.9553474423173484
GreyMatter;AUC;STD;0.006178824998342364
GreyMatter;AVGDIST;MEAN;0.30867973470681376
GreyMatter;AVGDIST;STD;0.014960795471742686
GreyMatter;DICE;MEAN;0.7250884122469476
GreyMatter;DICE;STD;0.008068299220009201
GreyMatter;FN;MEAN;23852.15
GreyMatter;FN;STD;6917.118253109455
GreyMatter;FP;MEAN;356665.6
GreyMatter;FP;STD;18410.00282292211
GreyMatter;HDRFDST;MEAN;2.234277886014149
GreyMatter;HDRFDST;STD;0.3974950667217747
GreyMatter;JACRD;MEAN;0.568799196215955
GreyMatter;JACRD;STD;0.009949438486572341
GreyMatter;SNSVTY;MEAN;0.9544680493403964
GreyMatter;SNSVTY;STD;0.01401501406270163
GreyMatter;SPCFTY;MEAN;0.9562268352943004
GreyMatter;SPCFTY;STD;0.002348835519073158
GreyMatter;TN;MEAN;7792283.8
GreyMatter;TN;STD;40874.776632539535
GreyMatter;TP;MEAN;502487.45
GreyMatter;TP;STD;29194.86972136543
Hippocampus;AUC;MEAN;0.9815070343725308
Hippocampus;AUC;STD;0.009327168699529825
Hippocampus;AVGDIST;MEAN;1.2199445410102505
Hippocampus;AVGDIST;STD;0.07720095037948439
Hippocampus;DICE;MEAN;0.5611011164950688
Hippocampus;DICE;STD;0.019338448501593625
Hippocampus;FN;MEAN;319.9
Hippocampus;FN;STD;185.85125773047648
Hippocampus;FP;MEAN;13171.1
Hippocampus;FP;STD;1267.0954541785713
Hippocampus;HDRFDST;MEAN;13.280229649089126
Hippocampus;HDRFDST;STD;1.2188110876810097
Hippocampus;JACRD;MEAN;0.39020288629724253
Hippocampus;JACRD;STD;0.01868863329093629
Hippocampus;SNSVTY;MEAN;0.964533867548947
Hippocampus;SNSVTY;STD;0.018701641846541498
Hippocampus;SPCFTY;MEAN;0.9984802011961147
Hippocampus;SPCFTY;STD;0.00014624015018227133
Hippocampus;TN;MEAN;8653193.1
Hippocampus;TN;STD;1559.9767273905081
Hippocampus;TP;MEAN;8604.9
Hippocampus;TP;STD;506.1838499991875
Thalamus;AUC;MEAN;0.9840261891015933
Thalamus;AUC;STD;0.00509237249052902
Thalamus;AVGDIST;MEAN;0.6639206122878865
Thalamus;AVGDIST;STD;0.121081764502991
Thalamus;DICE;MEAN;0.7522541717549232
Thalamus;DICE;STD;0.03004424854155605
Thalamus;FN;MEAN;548.1
Thalamus;FN;STD;191.8058653951959
Thalamus;FP;MEAN;10857.5
Thalamus;FP;STD;1988.0580348671917
Thalamus;HDRFDST;MEAN;15.297960383467089
Thalamus;HDRFDST;STD;1.2932161868270484
Thalamus;JACRD;MEAN;0.6038220602502861
Thalamus;JACRD;STD;0.03869530925387509
Thalamus;SNSVTY;MEAN;0.969306489015931
Thalamus;SNSVTY;STD;0.010300171976919362
Thalamus;SPCFTY;MEAN;0.9987458891872556
Thalamus;SPCFTY;STD;0.00022964223242303718
Thalamus;TN;MEAN;8646683.9
Thalamus;TN;STD;2197.2171012442077
Thalamus;TP;MEAN;17199.5
Thalamus;TP;STD;694.1932367864152
WhiteMatter;AUC;MEAN;0.9724473575239759
WhiteMatter;AUC;STD;0.0033768273296470534
WhiteMatter;AVGDIST;MEAN;0.2282706239417213
WhiteMatter;AVGDIST;STD;0.021422019436849318
WhiteMatter;DICE;MEAN;0.8261997675648141
WhiteMatter;DICE;STD;0.01920823496068899
WhiteMatter;FN;MEAN;16184.8
WhiteMatter;FN;STD;5004.735003973737
WhiteMatter;FP;MEAN;177542.0
WhiteMatter;FP;STD;21281.770163687044
WhiteMatter;HDRFDST;MEAN;2.57706103771776
WhiteMatter;HDRFDST;STD;0.3297823644118368
WhiteMatter;JACRD;MEAN;0.7043179041234009
WhiteMatter;JACRD;STD;0.02753241593115284
WhiteMatter;SNSVTY;MEAN;0.9665473809932571
WhiteMatter;SNSVTY;STD;0.009050928476548564
WhiteMatter;SPCFTY;MEAN;0.9783473340546951
WhiteMatter;SPCFTY;STD;0.002529702649349131
WhiteMatter;TN;MEAN;8019316.8
WhiteMatter;TN;STD;20422.17069657386
WhiteMatter;TP;MEAN;462245.4
WhiteMatter;TP;STD;27420.347046308514
