LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9586283343472675
Amygdala;AUC;STD;0.02546188160977231
Amygdala;AVGDIST;MEAN;1.450421008240025
Amygdala;AVGDIST;STD;0.21265716222651607
Amygdala;DICE;MEAN;0.5178823809014108
Amygdala;DICE;STD;0.04306445091072112
Amygdala;FN;MEAN;273.7
Amygdala;FN;STD;170.97312654332552
Amygdala;FP;MEAN;5418.75
Amygdala;FP;STD;509.0797457177019
Amygdala;HDRFDST;MEAN;12.58000895596506
Amygdala;HDRFDST;STD;1.2014052887510267
Amygdala;JACRD;MEAN;0.3505589395765278
Amygdala;JACRD;STD;0.0392032973588442
Amygdala;SNSVTY;MEAN;0.9178815268458125
Amygdala;SNSVTY;STD;0.05090636053389289
Amygdala;SPCFTY;MEAN;0.9993751418487223
Amygdala;SPCFTY;STD;5.869682661303611e-05
Amygdala;TN;MEAN;8666539.85
Amygdala;TN;STD;468.8502186199767
Amygdala;TP;MEAN;3056.7
Amygdala;TP;STD;282.31792362512164
GreyMatter;AUC;MEAN;0.953655297263696
GreyMatter;AUC;STD;0.006687449876141181
GreyMatter;AVGDIST;MEAN;0.3106237708076256
GreyMatter;AVGDIST;STD;0.013734355043808516
GreyMatter;DICE;MEAN;0.7229310511537325
GreyMatter;DICE;STD;0.008064435387727638
GreyMatter;FN;MEAN;25550.05
GreyMatter;FN;STD;7373.142874480326
GreyMatter;FP;MEAN;357776.7
GreyMatter;FP;STD;18174.67870995248
GreyMatter;HDRFDST;MEAN;2.338170190982996
GreyMatter;HDRFDST;STD;0.4277384224015192
GreyMatter;JACRD;MEAN;0.5661486304908688
GreyMatter;JACRD;STD;0.009893616395962432
GreyMatter;SNSVTY;MEAN;0.9512203528898835
GreyMatter;SNSVTY;STD;0.014975858929094954
GreyMatter;SPCFTY;MEAN;0.9560902416375088
GreyMatter;SPCFTY;STD;0.002326076801935314
GreyMatter;TN;MEAN;7791172.7
GreyMatter;TN;STD;41162.0403176276
GreyMatter;TP;MEAN;500789.55
GreyMatter;TP;STD;29434.452735654864
Hippocampus;AUC;MEAN;0.980636834377805
Hippocampus;AUC;STD;0.009556250343445106
Hippocampus;AVGDIST;MEAN;1.1410406536316349
Hippocampus;AVGDIST;STD;0.08895530782948208
Hippocampus;DICE;MEAN;0.5613847534413019
Hippocampus;DICE;STD;0.020053156514766603
Hippocampus;FN;MEAN;336.7
Hippocampus;FN;STD;192.8325957923089
Hippocampus;FP;MEAN;13121.6
Hippocampus;FP;STD;1353.6390730176195
Hippocampus;HDRFDST;MEAN;12.188140948817853
Hippocampus;HDRFDST;STD;1.2646027881312882
Hippocampus;JACRD;MEAN;0.3904956985161161
Hippocampus;JACRD;STD;0.019366020656171858
Hippocampus;SNSVTY;MEAN;0.9627877557702073
Hippocampus;SNSVTY;STD;0.019169178514200504
Hippocampus;SPCFTY;MEAN;0.9984859129854028
Hippocampus;SPCFTY;STD;0.00015622377089707836
Hippocampus;TN;MEAN;8653242.6
Hippocampus;TN;STD;1628.6832227293312
Hippocampus;TP;MEAN;8588.1
Hippocampus;TP;STD;486.1657022045056
Thalamus;AUC;MEAN;0.9795210926999809
Thalamus;AUC;STD;0.005739462686382509
Thalamus;AVGDIST;MEAN;0.7946709506572377
Thalamus;AVGDIST;STD;0.14092393835301947
Thalamus;DICE;MEAN;0.7509810275805724
Thalamus;DICE;STD;0.027571232845995077
Thalamus;FN;MEAN;709.6
Thalamus;FN;STD;219.35231934037077
Thalamus;FP;MEAN;10655.0
Thalamus;FP;STD;1822.0761784294311
Thalamus;HDRFDST;MEAN;16.738632458595205
Thalamus;HDRFDST;STD;1.8078117756179763
Thalamus;JACRD;MEAN;0.6020323321584291
Thalamus;JACRD;STD;0.03514485767778565
Thalamus;SNSVTY;MEAN;0.9602729062829379
Thalamus;SNSVTY;STD;0.011552798016443008
Thalamus;SPCFTY;MEAN;0.998769279117024
Thalamus;SPCFTY;STD;0.0002104716140887154
Thalamus;TN;MEAN;8646886.4
Thalamus;TN;STD;2051.280390390353
Thalamus;TP;MEAN;17038.0
Thalamus;TP;STD;664.8945781099437
WhiteMatter;AUC;MEAN;0.9721280015018035
WhiteMatter;AUC;STD;0.0031567714956514947
WhiteMatter;AVGDIST;MEAN;0.22843703861818296
WhiteMatter;AVGDIST;STD;0.022844946252247762
WhiteMatter;DICE;MEAN;0.8265505582163911
WhiteMatter;DICE;STD;0.019200908359327622
WhiteMatter;FN;MEAN;16539.9
WhiteMatter;FN;STD;4811.616286654621
WhiteMatter;FP;MEAN;176563.25
WhiteMatter;FP;STD;21141.978038667527
WhiteMatter;HDRFDST;MEAN;2.6193485306737943
WhiteMatter;HDRFDST;STD;0.3728448401909792
WhiteMatter;JACRD;MEAN;0.7048270207351405
WhiteMatter;JACRD;STD;0.027520376151146428
WhiteMatter;SNSVTY;MEAN;0.965789363953364
WhiteMatter;SNSVTY;STD;0.008620508663200384
WhiteMatter;SPCFTY;MEAN;0.9784666390502428
WhiteMatter;SPCFTY;STD;0.0025131747050417415
WhiteMatter;TN;MEAN;8020295.55
WhiteMatter;TN;STD;20612.11578774726
WhiteMatter;TP;MEAN;461890.3
WhiteMatter;TP;STD;27492.353606230226
